Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Activity,Observation Status,Reporting Type,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),170,Colombia,ISIC4_C,A,G,KG_PER_CON_USD,0.669,0.651,0.646,0.547,0.499,0.492,0.427,0.407,0.464,0.408,0.413,0.488,0.382,0.419,0.393,0.335,0.333,0.349,0.344,0.325,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),178,Congo,ISIC4_C,A,G,KG_PER_CON_USD,0.008,0.024,0.01,0.063,0.032,0.03,0.042,0.034,0.077,0.061,0.031,0.042,0.125,0.088,0.065,0.125,0.091,0.125,0.152,0.163,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),188,Costa Rica,ISIC4_C,A,G,KG_PER_CON_USD,0.154,0.163,0.125,0.164,0.151,0.157,0.155,0.183,0.179,0.173,0.161,0.17,0.16,0.154,0.151,0.155,0.16,0.161,0.148,0.119,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),384,Côte d'Ivoire,ISIC4_C,A,G,KG_PER_CON_USD,0.223,0.255,0.221,0.139,0.145,0.097,0.141,0.1,0.135,0.279,0.272,0.303,0.265,0.28,0.279,0.289,0.156,0.213,0.131,0.132,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),191,Croatia,ISIC4_C,A,G,KG_PER_CON_USD,0.426,0.446,0.417,0.394,0.45,0.439,0.439,0.408,0.404,0.379,0.383,0.351,0.32,0.327,0.314,0.29,0.273,0.289,0.288,0.279,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),192,Cuba,ISIC4_C,A,G,KG_PER_CON_USD,1.207,1.304,0.86,0.622,0.521,0.619,0.735,0.711,0.584,0.559,0.621,0.53,0.557,0.547,0.348,0.474,0.392,0.436,0.431,0.495,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),531,Curaçao,ISIC4_C,A,G,KG_PER_CON_USD,,,,,,,,,,,,2.241,1.48,1.466,1.497,1.421,1.275,1.31,1.488,1.851,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),196,Cyprus,ISIC4_C,A,G,KG_PER_CON_USD,1.18,1.157,1.126,1.127,1.15,0.836,0.754,0.761,0.724,0.672,0.604,0.559,0.464,0.66,0.839,0.683,0.584,0.519,0.396,0.363,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),203,Czechia,ISIC4_C,A,G,KG_PER_CON_USD,1.108,0.983,0.866,0.885,0.819,0.696,0.568,0.487,0.426,0.472,0.333,0.29,0.296,0.28,0.265,0.249,0.232,0.229,0.23,0.207,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),408,Democratic People's Republic of Korea,ISIC4_C,A,G,KG_PER_CON_USD,13.783,13.966,13.601,13.561,13.828,13.899,14.175,11.507,12.512,9.565,8.92,6.332,6.571,4.364,5.023,4.026,4.723,9.856,10.048,11.324,,,,,,,,,,,,,,,,,,,,,
