metric_key,economic_category,cou_metric_key,year,GDP,GDP_15,GDP_PC,GDP_PC_PPP,GDP_PC_PPP_17,GDP_PEMP,GDP_PPP,MFG_VA,ELC_POP,ELC_RUR_POP,CO2GDP,AtmCO2
developing-2001,Developing,bangladesh-2001,2001,53991289844.3291,87701511126.0793,674.166972677693,1403.12621854246,1998.06631990634,5573.40294697098,182530878334.241,14.1783570229665,35.0326461791992,21.5169792175293,0.096,0.435
developing-2002,Developing,bangladesh-2002,2002,54724081490.5102,91063218744.844,687.383307540341,1453.26225725918,2037.23630988193,5661.91374185424,192525389218.375,14.3174375493986,37.8510704040527,24.4272594451904,0.098,0.446
developing-2003,Developing,bangladesh-2003,2003,60158929188.2556,95379221373.1044,707.60509399929,1523.79747808748,2097.16874811972,5814.72725505935,205395097099.782,14.1454615609431,40.6642608642578,27.352518081665,0.098,0.465
developing-2004,Developing,bangladesh-2004,2004,65108544250.0425,100376647066.682,732.748840884682,1620.42505311916,2171.68867544338,5977.08839191275,221976241488.929,14.44207318664,40.5999984741211,27.8762912750244,0.1,0.326
developing-2005,Developing,bangladesh-2005,2005,69442943089.4309,106937209452.104,769.135980425315,1753.87460797871,2279.53127370224,6230.86080628231,243850841826.997,14.743998758061,44.2299995422363,30.1718578338623,0.101,0.345
developing-2013,Developing,bangladesh-2013,2013,149990451022.29,172619411144.635,1129.99354846656,3143.58550275239,3349.02500775857,8874.81577332231,480218563286.77,16.4420194734025,61.5,48.5877647399902,0.117,0.398
developing-2014,Developing,bangladesh-2014,2014,172885454931.453,183081976119.336,1184.86328330845,3368.05616403141,3511.64550625961,9263.19841074518,520423230999.264,16.6127076619157,62.4000015258789,48.1212005615234,0.116,0.37
developing-2015,Developing,bangladesh-2015,2015,195078678697.23,195078678697.23,1248.45330989613,3555.50525970603,3700.11082057504,9718.96660005835,555570050290.634,16.7886735625088,74.9037399291992,65.2221298217773,0.123,0.527
developing-2016,Developing,bangladesh-2016,2016,221415188000.475,208955558005.097,1322.69481176488,3848.95766369191,3920.14450723583,10255.7196340481,608047366029.664,17.0302468647422,75.9199981689453,66.1436462402344,0.118,0.405
developing-2017,Developing,bangladesh-2017,2017,249710922462.309,224176245316.101,1403.86169202072,4160.70332471531,4160.70332471531,10392.1348499895,664403662063.264,17.3006412745483,88.0,81.5710296630859,0.117,0.427
developing-2018,Developing,bangladesh-2018,2018,274038973437.275,241804912832.722,1498.38789214106,4547.48001638788,4440.85590480834,11013.6884466935,733857377477.863,17.9581434052737,91.8000030517578,89.0830078125,0.114,0.385
developing-2019,Developing,bangladesh-2019,2019,302571320445.75,261518503633.701,1603.95364590189,4954.76184812582,4753.72702676094,11715.667845232,807854957463.322,18.9326330099565,92.1999969482422,88.8535995483398,0.115,0.475
developed-2000,Developed,belgium-2000,2000,236792460312.471,365711203833.047,35674.7912530713,27784.5715041684,43024.1399101042,106854.699632268,284826588632.107,17.5359744500664,100.0,100.0,0.258,0.546
developed-2001,Developed,belgium-2001,2001,236746141604.37,369732633305.117,35943.2379602838,28788.0628411374,43347.8892099274,109967.916454717,296130423579.759,17.0405421304565,100.0,100.0,0.259,0.572
developed-2002,Developed,belgium-2002,2002,258383599375.177,376043542626.992,36393.2417665704,30282.2886450283,43890.5981100134,111438.634040184,312900377877.018,16.7945870519173,100.0,100.0,0.238,0.454
developed-2003,Developed,belgium-2003,2003,318082528506.588,379946808976.211,36617.3803840227,30932.8525095624,44160.9114292454,112621.526999155,320963391708.604,16.2002374109264,100.0,100.0,0.246,0.466
developed-2004,Developed,belgium-2004,2004,369214712443.206,393515485920.82,37761.2813189981,32063.0803240468,45540.4669120107,114137.130645886,334133752698.897,16.0899360790406,100.0,100.0,0.234,0.404
developed-2005,Developed,belgium-2005,2005,385714762230.039,402651880769.961,38426.0519083731,33177.8909458158,46342.1866093314,114618.744245887,347658412088.972,15.8709459755849,100.0,100.0,0.222,0.346
developed-2013,Developed,belgium-2013,2013,521791015247.06,446045040873.594,39970.3174974794,43671.11959259,48204.5856992867,118352.393997862,487343797679.386,12.562639991855,100.0,100.0,0.175,0.336
developed-2014,Developed,belgium-2014,2014,535390200131.018,453086009677.5,40421.4207919096,44929.685593416,48748.6205926039,119950.359711832,503619406808.679,12.5646861948773,100.0,100.0,0.16,0.324
developed-2015,Developed,belgium-2015,2015,462335574841.484,462335574841.484,41008.296719472,46200.904454307,49456.3985817783,122136.134060135,520878052195.13,12.6933338836875,100.0,100.0,0.166,0.312
developed-2016,Developed,belgium-2016,2016,476062757356.927,468191916732.07,41318.0196388476,48597.3999826201,49829.9273887741,122669.879560317,550677647305.861,12.3569440759775,100.0,100.0,0.163,0.329
developed-2017,Developed,belgium-2017,2017,502764720556.354,475774660680.469,41825.7628316432,50442.2705419624,50442.2705419624,121545.18279235,573788797293.568,12.4291175308128,100.0,100.0,0.158,0.311
developed-2018,Developed,belgium-2018,2018,543273794572.392,484429970740.234,42393.2512036991,52528.1185388814,51126.6669535206,120942.484425994,600241647062.199,12.1720046588327,100.0,100.0,0.156,0.32
developed-2019,Developed,belgium-2019,2019,535288715239.999,494843082072.617,43071.1065797501,54269.5140327442,51944.1670288861,121665.35874142,623501361331.917,12.2964517995728,100.0,100.0,0.152,0.293
developing-2000,Developing,brazil-2000,2000,655448188259.351,1186418964175.19,6787.66899225011,9060.78866695732,11600.9483833542,28976.194211382,1583738322704.83,13.134659593552,94.391716003418,74.3994064331055,0.145,0.476
developing-2001,Developing,brazil-2001,2001,559983704094.17,1202908958700.07,6788.57656201416,9260.76838093081,11602.4995299995,28548.8819189831,1640971586326.6,13.0895379354001,96.0165252685547,81.8757629394531,0.147,0.461
